"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"370","2.057041883468628","2.057041883468628","2.057041883468628"
"371","2.071565628051758","2.071565628051758","2.071565628051758"
"372","2.0620148181915283","2.0620148181915283","2.0620148181915283"
"373","2.051861047744751","2.051861047744751","2.051861047744751"
"374","2.0567781925201416","2.0567781925201416","2.0567781925201416"
"375","2.058931350708008","2.058931350708008","2.058931350708008"
"376","2.066162347793579","2.066162347793579","2.066162347793579"
"377","2.050699472427368","2.050699472427368","2.050699472427368"
"378","2.077007532119751","2.077007532119751","2.077007532119751"
"379","2.0739035606384277","2.0739035606384277","2.0739035606384277"
"380","2.075798749923706","2.075798749923706","2.075798749923706"
"381","2.0798935890197754","2.0798935890197754","2.0798935890197754"
"382","2.1126372814178467","2.1126372814178467","2.1126372814178467"
"383","2.107524871826172","2.107524871826172","2.107524871826172"
"384","2.1229066848754883","2.1229066848754883","2.1229066848754883"
"385","2.106678009033203","2.106678009033203","2.106678009033203"
"386","2.1058483123779297","2.1058483123779297","2.1058483123779297"
"387","2.069362163543701","2.069362163543701","2.069362163543701"
"388","2.0776538848876953","2.0776538848876953","2.0776538848876953"
"389","2.0590786933898926","2.0590786933898926","2.0590786933898926"
"390","2.077465295791626","2.077465295791626","2.077465295791626"
"391","2.0622313022613525","2.0622313022613525","2.0622313022613525"
"392","2.063952684402466","2.063952684402466","2.063952684402466"
"393","2.0429725646972656","2.0429725646972656","2.0429725646972656"
"394","2.057847023010254","2.057847023010254","2.057847023010254"
"395","2.0461249351501465","2.0461249351501465","2.0461249351501465"
"396","2.0513086318969727","2.0513086318969727","2.0513086318969727"
"397","2.0406992435455322","2.0406992435455322","2.0406992435455322"
"398","2.045822858810425","2.045822858810425","2.045822858810425"
"399","2.0509324073791504","2.0509324073791504","2.0509324073791504"
"400","2.033888578414917","2.033888578414917","2.033888578414917"
"401","2.041165828704834","2.041165828704834","2.041165828704834"
"402","2.019094705581665","2.019094705581665","2.019094705581665"
"403","2.035449981689453","2.035449981689453","2.035449981689453"
"404","2.040093421936035","2.040093421936035","2.040093421936035"
"405","2.020914077758789","2.020914077758789","2.020914077758789"
"406","2.0402097702026367","2.0402097702026367","2.0402097702026367"
"407","2.046316623687744","2.046316623687744","2.046316623687744"
"408","2.030069351196289","2.030069351196289","2.030069351196289"
"409","2.0382401943206787","2.0382401943206787","2.0382401943206787"
"410","2.0212202072143555","2.0212202072143555","2.0212202072143555"
"411","2.0853359699249268","2.0853359699249268","2.0853359699249268"
"412","2.102277994155884","2.102277994155884","2.102277994155884"
"413","2.091383934020996","2.091383934020996","2.091383934020996"
"414","2.064685106277466","2.064685106277466","2.064685106277466"
"415","2.0770041942596436","2.0770041942596436","2.0770041942596436"
"416","2.073126792907715","2.073126792907715","2.073126792907715"
"417","2.0731029510498047","2.0731029510498047","2.0731029510498047"
"418","2.0456905364990234","2.0456905364990234","2.0456905364990234"
"419","2.051213502883911","2.051213502883911","2.051213502883911"
"420","2.0405540466308594","2.0405540466308594","2.0405540466308594"
"421","2.029296875","2.029296875","2.029296875"
"422","2.020886182785034","2.020886182785034","2.020886182785034"
"423","2.013826847076416","2.013826847076416","2.013826847076416"
"424","2.0369467735290527","2.0369467735290527","2.0369467735290527"
"425","2.0275871753692627","2.0275871753692627","2.0275871753692627"
"426","2.0173757076263428","2.0173757076263428","2.0173757076263428"
"427","2.029632806777954","2.029632806777954","2.029632806777954"
"428","2.033144950866699","2.033144950866699","2.033144950866699"
"429","2.0055980682373047","2.0055980682373047","2.0055980682373047"
"430","2.028979778289795","2.028979778289795","2.028979778289795"
"431","2.009295701980591","2.009295701980591","2.009295701980591"
